Var,Human,Demo/Exam/Quest/Lab/Mort,Data,ForceInc
LBDCRYSI,b-cryptoxanthin (umol/L) (not in NHANES 99-00),LAB,0,0
LBXLUZ,Combined Lutein/zeaxanthin (ug/dL) (not in NHANES 99-00),LAB,0,0
LBDLUZSI,Combined Lutein/zeaxanthin (umol/L) (not in NHANES 99-00),LAB,0,0
LBXLYC,Trans-lycopene (ug/dL) (not in NHANES 99-00),LAB,0,0
LBDLYCSI,Trans-lycopene (umol/L) (not in NHANES 99-00),LAB,0,0
LBXVIA,Retinol (ug/dL) (not in NHANES 99-00),LAB,0,0
LBDVIASI,Retinol (umol/L) (not in NHANES 99-00),LAB,0,0
LBDVIDMS,Vitamin D (nmol/L) (not in NHANES 99-00),LAB,0,0
WTTFA2YR,Trans Fatty Acid Subsample 2 Year Weight (not in NHANES 01-02),LAB,0,0
LBXHDT,Trans 9 Hexadecenoic acid (not in NHANES 01-02),LAB,0,0
LBDHDTLC,Trans 9 Hexadecenoic acid comment code (not in NHANES 01-02),LAB,0,0
LBXOD1,Trans 11 Octadecenoic acid (not in NHANES 01-02),LAB,0,0
LBDOD1LC,Trans 11 Octadecenoic acid comment code (not in NHANES 01-02),LAB,0,0
LBXOD9,Trans 9 Octadecenoic acid (not in NHANES 01-02),LAB,0,0
LBDOD9LC,Trans 9 Octadecenoic acid comment code (not in NHANES 01-02),LAB,0,0
LBXOTT,Trans Trans 9 12 Octadecadienoic acid (not in NHANES 01-02),LAB,0,0
LBDOTTLC,Trans Trans 9 12 Octadecadienoic acid comment code (not in NHANES 01-02),LAB,0,0
ELIGSTAT,Eligibility status for mortality follow-up,MORTALITY,0,0
MORTSTAT,Final mortality status,MORTALITY,0,0
UCOD_LEADING,Underlying leading cause of death recode,MORTALITY,0,0
DIABETES,Diabetes flag from multiple cause of death,MORTALITY,0,0
HYPERTEN,Hypertension flag from multiple cause of death,MORTALITY,0,0
PERMTH_INT,Number of person months of follow up from NHANES interview date,MORTALITY,0,0
PERMTH_EXM,Number of person months of follow up from NHANES mobile exam center date,MORTALITY,0,0
BPXPLS,60 sec pulse (30 sec pulse X2),E,1,1
BPXSAR,SBP average reported to examinee,E,1,1
BPXDAR,DBP average reported to examinee,E,1,1
BMXBMI,Body Mass Index (kg/m2),E,1,1
URXUMASI,Albumin urine (mg/L),LAB,1,1
URXUCRSI,Creatinine urine (umol/L),LAB,1,1
LBDIRNSI,Iron (umol/L),LAB,1,1
LBDTIBSI,Total iron binding capacity (umol/L),LAB,1,1
LBXPCT,Transferrin Saturation (%),LAB,1,1
LBDFERSI,Ferritin (ug/L),LAB,1,1
LBDFOLSI,Folate serum (nmol/L),LAB,1,1
LBDB12SI,Vitamin B12 serum (pmol/L),LAB,1,1
LBXCOT,Cotinine (ng/mL),LAB,1,1
LBDTCSI,Total Cholesterol (mmol/L),LAB,1,1
LBDHDLSI,HDL (mmol/L),LAB,1,1
LBXWBCSI,WBC count (1000 cells/uL),LAB,1,1
LBXLYPCT,Lymphocyte percent ,LAB,1,1
LBXMOPCT,Monocyte percent ,LAB,1,1
LBXNEPCT,Segmented neutrophils percent ,LAB,1,1
LBXEOPCT,Eosinophils percent ,LAB,1,1
LBXBAPCT,Basophils percent ,LAB,1,1
LBDLYMNO,Lymphocyte number (1000 cells/uL),LAB,1,1
LBDMONO,Monocyte number (1000 cells/uL),LAB,1,1
LBDNENO,Segmented neutrophils number (1000 cell/uL),LAB,1,1
LBDEONO,Eosinophils number (1000 cells/uL),LAB,1,1
LBDBANO,Basophils number (1000 cells/uL),LAB,1,1
LBXRBCSI,Red blood cell count (million cells/uL),LAB,1,1
LBXHGB,Hemoglobin (g/dL),LAB,1,1
LBXHCT,Hematocrit,LAB,1,1
LBXMCVSI,Mean cell volume (fL),LAB,1,1
LBXMCHSI,Mean cell hemoglobin (pg),LAB,1,1
LBXMC,Mean Cell Hemoglobin Concentration (g/dL),LAB,1,1
LBXRDW,Red cell distribution width (percent),LAB,1,1
LBXPLTSI,Platelet count (1000 cells/uL),LAB,1,1
LBXMPSI,Mean platelet volume (fL),LAB,1,1
LBXCRP,CRP (mg/dL),LAB,1,1
LBDFBSI,Fibrinogen (g/L),LAB,0,0
LBXGH,Glycohemoglobin %,LAB,1,1
SSBNP,NT-proBNP (pg/ml) (surplus),LAB,1,1
LBDSALSI,Albumin (g/L),LAB,1,1
LBXSATSI,Alanine Aminotransferase (ALT) (U/L),LAB,1,1
LBXSASSI,Aspartate Aminotransferase (AST) (U/L),LAB,1,1
LBXSAPSI,Alkaline Phosphatase (ALP) (IU/L),LAB,1,1
LBDSBUSI,Blood Urea Nitrogen (mmol/L),LAB,1,1
LBDSCASI,Calcium total (mmol/L),LAB,1,1
LBXSC3SI,Bicarbonate (mmol/L),LAB,1,1
LBXSGTSI,Gamma Glutamyl Transferase (GGT) (U/L),LAB,0,0
LBDSGLSI,Glucose (mmol/L),LAB,1,1
LBXSLDSI,Lactate Dehydrogenase (LDH) (U/L),LAB,1,1
LBDSPHSI,Phosphorus (mmol/L),LAB,1,1
LBDSTBSI,Bilirubin total (umol/L),LAB,1,1
LBDSTPSI,Protein total (g/L),LAB,1,1
LBDSTRSI,Triglycerides (mmol/L),LAB,1,1
LBDSUASI,Uric acid (umol/L),LAB,1,1
LBDSCRSI,Creatinine (umol/L),LAB,1,1
LBXSNASI,Sodium (mmol/L),LAB,1,1
LBXSKSI,Potassium (mmol/L),LAB,1,1
LBXSCLSI,Chloride (mmol/L),LAB,1,1
LBDSGBSI,Globulin (g/L),LAB,1,1
